time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
19.485816,0,0.45,0,0,0.43,0,1.75,12.68,4.05
19.71984696,0.01,0.46,0,0,0.43,0,3.02,10.92,3.23
19.9373188,0.04,0.47,0,0,0.43,0,1.85,12.18,4.19
20.18935108,0.08,0.47,0,0,0.43,0,1.44,12.07,3.6
20.41867995,0.1,0.48,0,0,0.43,0,1.34,12.53,3.86
20.65322113,0.09,0.51,0,0,0.43,0,1.92,11.53,3.95
20.88526702,0.1,0.53,0,0,0.43,0,2.27,11.11,4.46
21.12016106,0.11,0.54,0,0,0.43,0,1.67,11.8,4.31
21.35195398,0.1,0.51,0,0,0.43,0,1.96,10.96,4.66
21.58751893,0.18,0.5,0,0,0.43,0,1.75,9.03,4.37
21.81848192,0.43,0.5,0,0,0.43,0,1.75,8.47,3.87
22.05308008,0.67,0.5,0,0,0.43,0,-0.17,10.08,3.96
22.28720093,1.19,0.48,0,0,0.43,0,-0.43,10.35,3.64
22.51897383,6.68,0.29,0,0.49,0.42,0,-0.91,10.29,4.61
22.75366783,21.6,0.11,0.02,14.04,0.15,0.02,-1.34,10.31,3.95
22.98633814,49.88,0.02,3.38,0.13,0.43,0,-2.2,10.67,4.71
23.21940804,80.89,0,89.06,2.98,0.35,0,-3.14,10.89,5.67
23.45206785,93.84,0,98.68,0.54,0.41,0,-2.93,9.84,4.59
23.68125892,91.17,0,97.77,6.99,0.3,0.01,-2.2,10.13,4.74
23.92059183,92.56,0,98.52,8,0.24,0.01,-0.93,9.57,4.78
24.15310192,93.45,0,98.71,1.02,0.4,0,-1.73,8.67,5.53
24.38575101,97.32,0,99.33,71.23,0,88.48,-1.58,8.71,4.76
24.61855412,99.35,0,99.52,97.85,0,99.9,-2.16,8.64,5.04
24.85366297,99.91,0,99.57,0,0,0,-4.1,8.41,4.72
25.09204698,99.98,0,99.57,99.89,0,99.93,-5.33,8.93,3.76
25.31894779,100,0,99.59,0,0,0,-7.24,8.44,1.73
25.5585289,100,0,99.59,99.97,0,99.93,-6.53,9.28,3.81
25.78614283,100,0,99.67,0,0,0,-5.33,7.48,4.98
