smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
99.96,0.01,99.93,0.05,0.42,0,-6.13,-4.87,-2.74
99.42,0,99.89,0,0.43,0,-6.86,-5.78,-2.68
88.25,0,97.16,0,0.34,0,-8.48,-3.98,-3.05
23.56,0.03,0.09,0,0.36,0,-8.53,-4.59,-4.77
1.32,0.12,0,0,0.39,0,-8.16,-3.51,-3.16
0.17,0.18,0,0,0.42,0,-8.28,-3.21,-4.48
0.19,0.21,0,0,0.43,0,-7.99,-2.54,-4.8
0.17,0.24,0,0.26,0.42,0,-8.92,-1.98,-6.99
0.4,0.29,0,14.72,0.15,0.03,-9.06,-0.81,-5.05
0.86,0.2,0,7.99,0.24,0.01,-10.2,-0.16,-4.95
1.79,0.19,0,0.94,0.14,0,-11.72,-1.28,-5.47
1.8,0.18,0,0.54,0.41,0,-12.21,-0.51,-6.06
3.36,0.04,0,0.13,0.42,0,-10.83,-1.46,-5.54
5.22,0.01,0,0.81,0.38,0,-4.02,2.01,-4.02
3.7,0.01,0,0,0.42,0,-7.66,-1.73,-2.02
1.62,0.01,0,0.01,0.4,0,-5.31,-2.86,1.82
1.55,0.01,0,0,0.23,0,-7.58,-1.58,0.63
1.6,0.05,0,0,0.42,0,-10.79,-4.08,0.98
0.12,0.17,0,0,0.43,0,-5.91,-6.97,-1.91
0.06,0.24,0,0,0.43,0,-7.32,-5.08,-7.24
0.04,0.35,0,0,0.09,0,-5.14,-5.31,-16.72
0.04,0.37,0,1.85,0.37,0,-9.15,-6.01,-1.09
0.09,0.32,0,17.04,0.12,0.04,-10.31,-1.86,-1.19
2.26,0.04,0,4.99,0.38,0,-13.53,0.06,-0.01
24.83,0.01,0.32,4.92,0.31,0,-15.25,0.66,0.66
84.31,0,98.23,51.05,0.01,16.42,-13.13,-0.35,-1.67
95.8,0,99.77,36.78,0.09,1.44,-15.04,-1.39,-0.02
96.53,0,99.8,76.19,0,95,-11.03,2.41,-3.13
97.59,0,99.77,22.47,0.08,0.11,-12.64,-0.85,-2.03
96.79,0,99.48,11.75,0.21,0.02,-14.52,3.32,-1.76
97.46,0,99.55,87.07,0,99.28,-12.11,1.06,-1.83
97.21,0,99.5,49.98,0.05,13.89,-12.77,2.76,-2.62
98.3,0,99.62,21.86,0.35,0.1,-13.96,0.56,-0.95
98.4,0,99.55,39.05,0.03,2.16,-13.47,1.31,-1.96
98.85,0,99.61,42.17,0.29,3.69,-13.77,3.24,-1.5
98.92,0,99.65,97.42,0,99.89,-13.16,2.07,-3.2
99.33,0,99.71,58.08,0.02,41.28,-12.59,1.81,-2.42
99.32,0,99.83,94.86,0,99.82,-13.91,1.26,-3.31
99.37,0,99.86,86.32,0,99.17,-12.34,2.08,-3.16
